iter	Passed	Remaining
699	2951	1265
700	2957	1261
701	2962	1257
702	2969	1254
703	2974	1250
704	2979	1246
705	2986	1243
706	2991	1239
707	2995	1235
708	3003	1232
709	3008	1228
710	3012	1224
711	3018	1221
712	3024	1217
713	3030	1214
714	3035	1210
715	3040	1205
716	3048	1203
717	3054	1199
718	3064	1197
719	3071	1194
720	3078	1191
721	3084	1187
722	3088	1183
723	3096	1180
724	3101	1176
725	3105	1172
726	3110	1168
727	3114	1163
728	3118	1159
729	3122	1154
730	3127	1150
731	3130	1146
732	3135	1142
733	3140	1138
734	3146	1134
735	3150	1130
736	3157	1126
737	3163	1123
738	3170	1119
739	3178	1116
740	3183	1112
741	3191	1109
742	3197	1105
743	3204	1102
744	3209	1098
745	3214	1094
746	3220	1090
747	3225	1086
748	3231	1082
749	3238	1079
750	3242	1075
751	3246	1070
752	3252	1066
753	3256	1062
754	3261	1058
755	3269	1055
756	3274	1051
757	3280	1047
758	3286	1043
759	3291	1039
760	3298	1036
761	3304	1032
762	3310	1028
763	3316	1024
764	3321	1020
765	3328	1016
766	3333	1012
767	3340	1009
768	3349	1006
769	3354	1002
770	3364	999
771	3370	995
772	3381	993
773	3395	991
774	3401	987
775	3409	984
776	3418	981
777	3429	978
778	3436	974
779	3442	971
780	3448	967
781	3456	963
782	3462	959
783	3470	956
784	3476	952
785	3482	948
786	3489	944
787	3496	940
788	3502	936
789	3508	932
790	3516	929
791	3520	924
792	3525	920
793	3531	916
794	3537	912
795	3546	908
796	3552	904
797	3559	901
798	3565	896
799	3569	892
800	3577	888
801	3583	884
802	3590	880
803	3596	876
804	3601	872
805	3610	869
806	3616	865
807	3623	860
808	3629	856
809	3635	852
810	3645	849
811	3652	845
812	3659	841
813	3664	837
814	3673	833
815	3680	829
816	3688	826
817	3694	821
818	3700	817
819	3707	813
820	3716	810
821	3722	806
822	3732	802
823	3738	798
824	3744	794
825	3750	790
826	3756	785
827	3765	782
828	3774	778
829	3783	774
830	3788	770
831	3796	766
832	3802	762
833	3810	758
834	3818	754
835	3827	750
836	3831	746
837	3837	741
838	3845	737
839	3851	733
840	3859	729
841	3864	725
842	3870	720
843	3876	716
844	3880	711
845	3884	707
846	3891	702
847	3895	698
848	3900	693
849	3905	689
850	3909	684
851	3914	679
852	3920	675
853	3925	671
854	3929	666
855	3934	661
856	3939	657
857	3944	652
858	3950	648
859	3955	643
860	3961	639
861	3967	635
862	3972	630
863	3976	625
864	3982	621
865	3986	616
866	3990	612
867	3994	607
868	3999	602
869	4002	598
870	4005	593
871	4008	588
872	4012	583
873	4016	579
874	4020	574
875	4023	569
876	4026	564
877	4030	560
878	4033	555
879	4036	550
880	4039	545
881	4042	540
882	4047	536
883	4051	531
884	4055	527
885	4060	522
886	4065	517
887	4069	513
888	4072	508
889	4077	504
890	4082	499
891	4085	494
892	4088	489
893	4093	485
894	4098	480
895	4101	476
896	4104	471
897	4109	466
898	4112	462
899	4116	457
900	4120	452
901	4124	448
902	4128	443
903	4132	438
904	4134	434
905	4139	429
906	4144	424
907	4147	420
908	4150	415
909	4154	410
910	4159	406
911	4163	401
912	4166	397
913	4170	392
914	4174	387
915	4178	383
916	4181	378
917	4184	373
918	4188	369
919	4192	364
920	4194	359
921	4197	355
922	4201	350
923	4206	345
924	4210	341
925	4213	336
926	4216	332
927	4220	327
928	4224	322
929	4227	318
930	4229	313
931	4234	308
932	4239	304
933	4243	299
934	4246	295
935	4250	290
936	4255	286
937	4259	281
938	4261	276
939	4266	272
940	4270	267
941	4274	263
942	4277	258
943	4281	254
944	4286	249
945	4290	244
946	4294	240
947	4299	235
948	4305	231
949	4311	226
950	4317	222
951	4322	217
952	4329	213
953	4334	209
954	4339	204
955	4342	199
956	4347	195
957	4351	190
958	4354	186
959	4359	181
960	4372	177
961	4380	173
962	4384	168
963	4390	163
964	4395	159
965	4399	154
966	4403	150
967	4408	145
968	4413	141
969	4416	136
970	4420	132
971	4425	127
972	4429	122
973	4434	118
974	4439	113
975	4444	109
976	4448	104
977	4452	100
978	4458	95
979	4462	91
980	4466	86
981	4472	81
982	4477	77
983	4480	72
984	4486	68
985	4491	63
986	4496	59
987	4500	54
988	4505	50
989	4509	45
990	4512	40
991	4519	36
992	4523	31
993	4528	27
994	4535	22
995	4540	18
996	4544	13
997	4551	9
998	4555	4
999	4560	0
